acc,1,10000000,10000000,0.043676
ker,1,10000000,10000000,0.045205
omp,1,10000000,10000000,0.016449
acc,1,10000000,20000000,0.044615
ker,1,10000000,20000000,0.061223
omp,1,10000000,20000000,0.024643
acc,1,10000000,30000000,0.045811
ker,1,10000000,30000000,0.045927
omp,1,10000000,30000000,0.028240
acc,1,10000000,40000000,0.041884
ker,1,10000000,40000000,0.045884
omp,1,10000000,40000000,0.040302
acc,1,10000000,50000000,0.044878
ker,1,10000000,50000000,0.039989
omp,1,10000000,50000000,0.047309
acc,1,10000000,60000000,0.045732
ker,1,10000000,60000000,0.054432
omp,1,10000000,60000000,0.052049
acc,1,10000000,70000000,0.047288
ker,1,10000000,70000000,0.037616
omp,1,10000000,70000000,0.054865
acc,1,10000000,80000000,0.046928
ker,1,10000000,80000000,0.047507
omp,1,10000000,80000000,0.059627
acc,1,10000000,90000000,0.048049
ker,1,10000000,90000000,0.045813
omp,1,10000000,90000000,0.064606
acc,1,10000000,100000000,0.047601
ker,1,10000000,100000000,0.046591
omp,1,10000000,100000000,0.066174
acc,1,10000000,110000000,0.047532
ker,1,10000000,110000000,0.035165
omp,1,10000000,110000000,0.072865
acc,1,10000000,120000000,0.061085
ker,1,10000000,120000000,0.047327
omp,1,10000000,120000000,0.075105
acc,1,10000000,130000000,0.047705
ker,1,10000000,130000000,0.046389
omp,1,10000000,130000000,0.079139
acc,1,10000000,140000000,0.047327
ker,1,10000000,140000000,0.047125
omp,1,10000000,140000000,0.084663
acc,1,10000000,150000000,0.049138
ker,1,10000000,150000000,0.048907
omp,1,10000000,150000000,0.096952
acc,1,10000000,160000000,0.048596
ker,1,10000000,160000000,0.051411
omp,1,10000000,160000000,0.097160
acc,1,10000000,170000000,0.049907
ker,1,10000000,170000000,0.050328
omp,1,10000000,170000000,0.101233
acc,1,10000000,180000000,0.048321
ker,1,10000000,180000000,0.047610
omp,1,10000000,180000000,0.106354
acc,1,10000000,190000000,0.043820
ker,1,10000000,190000000,0.049528
omp,1,10000000,190000000,0.135792
acc,1,10000000,200000000,0.054057
ker,1,10000000,200000000,0.050273
omp,1,10000000,200000000,0.118629
acc,1,10000000,210000000,0.052476
ker,1,10000000,210000000,0.049304
omp,1,10000000,210000000,0.143327
acc,1,10000000,220000000,0.052605
ker,1,10000000,220000000,0.046227
omp,1,10000000,220000000,0.121398
acc,1,10000000,230000000,0.053642
