acc,1000,1000,0.265716
ker,1000,1000,0.478546
omp,1000,1000,0.237796
acc,1200,1000,0.331908
ker,1200,1000,0.581373
omp,1200,1000,0.517826
acc,1400,1000,0.375439
ker,1400,1000,0.669317
omp,1400,1000,0.785294
acc,1600,1000,0.418889
ker,1600,1000,0.717664
omp,1600,1000,1.287420
acc,1800,1000,0.518809
ker,1800,1000,0.772013
omp,1800,1000,1.545408
acc,2000,1000,0.570381
ker,2000,1000,0.998249
omp,2000,1000,2.087340
acc,2200,1000,0.709612
ker,2200,1000,1.158274
omp,2200,1000,3.256813
acc,2400,1000,0.810068
ker,2400,1000,1.205440
omp,2400,1000,4.534512
acc,2600,1000,0.935656
ker,2600,1000,1.370134
omp,2600,1000,5.943168
acc,2800,1000,1.005968
ker,2800,1000,1.509680
omp,2800,1000,7.622662
acc,3000,1000,1.155834
ker,3000,1000,1.588436
omp,3000,1000,9.524536
acc,3200,1000,1.296503
ker,3200,1000,1.719275
omp,3200,1000,11.275700
acc,3400,1000,1.431322
ker,3400,1000,1.875127
omp,3400,1000,13.412044
acc,3600,1000,1.561953
ker,3600,1000,2.065955
omp,3600,1000,15.544229
acc,3800,1000,1.757331
ker,3800,1000,2.330971
omp,3800,1000,18.058184
acc,4000,1000,1.864307
ker,4000,1000,2.479119
omp,4000,1000,20.548534
acc,4200,1000,2.068966
ker,4200,1000,2.788413
omp,4200,1000,23.352764
acc,4400,1000,2.268547
ker,4400,1000,3.128235
omp,4400,1000,26.349648
acc,4600,1000,2.510648
ker,4600,1000,3.290017
omp,4600,1000,29.313772
acc,4800,1000,2.736128
ker,4800,1000,3.496024
omp,4800,1000,32.420452
acc,5000,1000,2.993897
ker,5000,1000,4.021210
omp,5000,1000,35.734322
acc,5200,1000,3.211261
ker,5200,1000,4.212279
omp,5200,1000,39.080536
acc,5400,1000,3.480116
ker,5400,1000,4.553345
omp,5400,1000,42.473843
acc,5600,1000,3.706370
ker,5600,1000,4.712908
omp,5600,1000,46.329353
acc,5800,1000,4.025152
ker,5800,1000,5.146016
omp,5800,1000,50.066284
acc,6000,1000,4.266966
ker,6000,1000,6.737197
omp,6000,1000,54.073673
